match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.1,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,Mohamed Shafeeq,1,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.2,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.3,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,Mohamed Shafeeq,1,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.4,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,Mohamed Shafeeq,0,1,1,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.5,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,Mohamed Shafeeq,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.6,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,Mohamed Shafeeq,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,0.7,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,Mohamed Shafeeq,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,1.1,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,A Chenthamara,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,1.2,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,A Chenthamara,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,1.3,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,A Chenthamara,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,1.4,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,A Chenthamara,1,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,1.5,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,A Chenthamara,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,1.6,Hong Kong,Kuwait,Zeeshan Ali,Anshuman Rath,A Chenthamara,0,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,2.1,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,Mohamed Shafeeq,6,0,,,,,,,,,
1525162,2025/26,2026-03-01,"Mission Road Ground, Mong Kok, Hong Kong",1,2.2,Hong Kong,Kuwait,Anshuman Rath,Zeeshan Ali,Mohamed Shafeeq,4,0,,,,,,,,,
